"age","estimate","ci_low","ci_high","ethnicity","measure","outcome"
"0-14",0.447012174007068,-0.927642602307219,1.74595442940536,"African","RII","poor GH"
"15-29",1.12658625140205,0.156461169832998,2.01229252120377,"African","RII","poor GH"
"30-44",1.10829314942252,0.62065914410649,1.56779342067215,"African","RII","poor GH"
"45-59",0.475843395398344,-0.202318724676917,1.12333018119041,"African","RII","poor GH"
"60-74",1.45994971651964,0.590175873556224,2.2832964559048,"African","RII","poor GH"
"75",0.0706748375898604,-1.57207277335867,1.63481963480282,"African","RII","poor GH"
"0-64",0.512793308453377,0.0221176570798298,1.02989615970692,"African","RII","poor GH"
"all",0.911727089427344,0.111760298626944,1.67200932471145,"African","RII","poor GH"
"0-14",0.807681473386747,-1.0675367148548,2.52776259845308,"Indian","RII","poor GH"
"15-29",0.408303061292359,-0.537577252547139,1.35756995910345,"Indian","RII","poor GH"
"30-44",0.807966824772578,0.111964978542979,1.45637696776666,"Indian","RII","poor GH"
"45-59",1.68722357186534,1.18250011575793,2.18875821761472,"Indian","RII","poor GH"
"60-74",0.982096111702542,0.426970312493654,1.50431318662961,"Indian","RII","poor GH"
"75",-0.135681718955639,-0.775375218058217,0.58713430341702,"Indian","RII","poor GH"
"0-64",1.37637694187218,0.991203966661438,1.75516673195731,"Indian","RII","poor GH"
"all",0.726465461864392,0.434761456948219,1.03913948521296,"Indian","RII","poor GH"
"0-14",1.85196978858962,0.845263005670293,2.89394031335769,"Other Asian","RII","poor GH"
"15-29",0.643659382021613,-0.444104581875182,1.70224177014508,"Other Asian","RII","poor GH"
"30-44",1.9728086419612,1.44002310423629,2.49604102016543,"Other Asian","RII","poor GH"
"45-59",0.89520431872328,0.349239099372828,1.48361557425584,"Other Asian","RII","poor GH"
"60-74",0.694611604461424,-0.0360132477707428,1.37708152404066,"Other Asian","RII","poor GH"
"75",1.05898530098469,-0.203781592359913,2.25900920293281,"Other Asian","RII","poor GH"
"0-64",1.0541269250243,0.675384092670515,1.45545481969325,"Other Asian","RII","poor GH"
"all",0.965895553043463,0.425987405416856,1.48608283028668,"Other Asian","RII","poor GH"
"0-14",0.180823083106498,-0.527020691623317,0.967980465217829,"Pakistani","RII","poor GH"
"15-29",0.683455737748741,0.153976650116676,1.25198363807004,"Pakistani","RII","poor GH"
"30-44",1.23932947594593,0.911222734241892,1.54525513753611,"Pakistani","RII","poor GH"
"45-59",1.10324129620013,0.854034639251947,1.35420255605916,"Pakistani","RII","poor GH"
"60-74",0.645756445761592,0.343201132367792,0.94660546766148,"Pakistani","RII","poor GH"
"75",-0.0940713625855678,-0.562570183461534,0.374905878430511,"Pakistani","RII","poor GH"
"0-64",1.16608358924653,0.950126780215576,1.3642897929937,"Pakistani","RII","poor GH"
"all",0.610034788345994,0.415384257038046,0.782062056103408,"Pakistani","RII","poor GH"
"0-14",0.966110778838497,0.427904066888899,1.4964856993173,"Asian (total)","RII","poor GH"
"15-29",0.843932581041498,0.437498884771848,1.2719756536137,"Asian (total)","RII","poor GH"
"30-44",1.45669724179384,1.20552409155803,1.71295722220328,"Asian (total)","RII","poor GH"
"45-59",1.22504856706059,1.02628731801799,1.40965094076102,"Asian (total)","RII","poor GH"
"60-74",0.698647635286074,0.474190795094777,0.929271531510686,"Asian (total)","RII","poor GH"
"75",0.0424156701389414,-0.263512615952488,0.337712122293282,"Asian (total)","RII","poor GH"
"0-64",1.25504541722963,1.08097028995584,1.4025713571344,"Asian (total)","RII","poor GH"
"all",0.671882074802262,0.539683217116571,0.817621905205653,"Asian (total)","RII","poor GH"
"0-14",3.24125759883241,2.50413442180541,3.93243608615777,"White Irish","RII","poor GH"
"15-29",1.73300312052663,0.75070732625614,2.66102899564973,"White Irish","RII","poor GH"
"30-44",2.34223720900007,1.95758495661397,2.713464811365,"White Irish","RII","poor GH"
"45-59",2.13692949337403,1.9027438907955,2.37844395442906,"White Irish","RII","poor GH"
"60-74",1.31853621681641,1.1186503708152,1.50193351160178,"White Irish","RII","poor GH"
"75",0.700993691942396,0.466085239643225,0.903835888951374,"White Irish","RII","poor GH"
"0-64",1.98329878903871,1.81614614853313,2.14167081664662,"White Irish","RII","poor GH"
"all",1.45436876880131,1.33242153318736,1.56776239440127,"White Irish","RII","poor GH"
"0-14",2.68256378376309,1.88982762836024,3.4608270498149,"White British","RII","poor GH"
"15-29",1.45957901116101,1.20908342723571,1.71541115007958,"White British","RII","poor GH"
"30-44",2.31133544480741,2.16605823868339,2.46344488444362,"White British","RII","poor GH"
"45-59",2.21371249074775,2.11007508180929,2.31411667297389,"White British","RII","poor GH"
"60-74",1.77274535159465,1.66096789671765,1.87681356609526,"White British","RII","poor GH"
"75",0.847338658099174,0.736583680055491,0.971418076980527,"White British","RII","poor GH"
"0-64",2.18639961414103,2.11171690087051,2.25577540187453,"White British","RII","poor GH"
"all",1.71163534299338,1.65142289156844,1.76926999473444,"White British","RII","poor GH"
"0-14",2.04027219613459,-0.71142599701854,2.04027219613459,"Caribbean","RII","poor GH"
"15-29",0.735168594197717,-0.577627349973116,1.98395544662898,"Caribbean","RII","poor GH"
"30-44",1.38585674428809,0.574897297732054,2.14042551823927,"Caribbean","RII","poor GH"
"45-59",1.19391912517364,0.21502089595552,2.13515095222684,"Caribbean","RII","poor GH"
"60-74",1.31542256311664,0.0920374031755191,2.49561427339312,"Caribbean","RII","poor GH"
"75",0.851649652798677,-0.555018108778203,2.20000170247992,"Caribbean","RII","poor GH"
"0-64",1.2003789338822,0.47930807937671,1.86895691319081,"Caribbean","RII","poor GH"
"all",1.27615290342311,0.605083392984036,1.87613637917208,"Caribbean","RII","poor GH"
